[101] train-err:0.142760 train-nlik:0.554124 valid-err:0.142900 valid-nlik:0.552705 test-err:0.135300 test-nlik:0.540694
[102] train-err:0.141760 train-nlik:0.552972 valid-err:0.142600 valid-nlik:0.551606 test-err:0.134900 test-nlik:0.539779
[103] train-err:0.141620 train-nlik:0.552278 valid-err:0.141500 valid-nlik:0.550928 test-err:0.135400 test-nlik:0.539130
[104] train-err:0.141360 train-nlik:0.551615 valid-err:0.141500 valid-nlik:0.550438 test-err:0.135700 test-nlik:0.538336
[105] train-err:0.140840 train-nlik:0.551240 valid-err:0.140900 valid-nlik:0.549931 test-err:0.134600 test-nlik:0.538160
[106] train-err:0.140740 train-nlik:0.550825 valid-err:0.140000 valid-nlik:0.549573 test-err:0.133200 test-nlik:0.537915
[107] train-err:0.140520 train-nlik:0.551662 valid-err:0.140000 valid-nlik:0.550276 test-err:0.133800 test-nlik:0.538886
[108] train-err:0.140200 train-nlik:0.551133 valid-err:0.140300 valid-nlik:0.549801 test-err:0.134100 test-nlik:0.538288
[109] train-err:0.140300 train-nlik:0.550675 valid-err:0.140300 valid-nlik:0.549421 test-err:0.133500 test-nlik:0.537800
[110] train-err:0.140780 train-nlik:0.550626 valid-err:0.140400 valid-nlik:0.549331 test-err:0.134000 test-nlik:0.537673
[111] train-err:0.140740 train-nlik:0.550592 valid-err:0.140300 valid-nlik:0.549264 test-err:0.133800 test-nlik:0.537706
[112] train-err:0.140820 train-nlik:0.551666 valid-err:0.139700 valid-nlik:0.550317 test-err:0.133900 test-nlik:0.538739
[113] train-err:0.140760 train-nlik:0.551994 valid-err:0.140500 valid-nlik:0.550742 test-err:0.134200 test-nlik:0.538940
[114] train-err:0.141000 train-nlik:0.551839 valid-err:0.140500 valid-nlik:0.550677 test-err:0.134600 test-nlik:0.538811
[115] train-err:0.140320 train-nlik:0.551462 valid-err:0.139800 valid-nlik:0.550418 test-err:0.134300 test-nlik:0.538488
[116] train-err:0.141140 train-nlik:0.551253 valid-err:0.140000 valid-nlik:0.550144 test-err:0.135200 test-nlik:0.538329
