[105] train-err:0.080140 train-nlik:0.293995 valid-err:0.080800 valid-nlik:0.299055 test-err:0.079800 test-nlik:0.288727
[106] train-err:0.080060 train-nlik:0.293482 valid-err:0.080800 valid-nlik:0.298597 test-err:0.079600 test-nlik:0.288288
[107] train-err:0.079960 train-nlik:0.292969 valid-err:0.080600 valid-nlik:0.298128 test-err:0.079600 test-nlik:0.287830
[108] train-err:0.079920 train-nlik:0.292463 valid-err:0.080400 valid-nlik:0.297664 test-err:0.079600 test-nlik:0.287407
[109] train-err:0.079760 train-nlik:0.291968 valid-err:0.080200 valid-nlik:0.297203 test-err:0.079200 test-nlik:0.286979
[110] train-err:0.079520 train-nlik:0.291469 valid-err:0.080300 valid-nlik:0.296751 test-err:0.079000 test-nlik:0.286549
[111] train-err:0.079240 train-nlik:0.290983 valid-err:0.080300 valid-nlik:0.296284 test-err:0.078800 test-nlik:0.286096
[112] train-err:0.079280 train-nlik:0.290488 valid-err:0.080100 valid-nlik:0.295837 test-err:0.078500 test-nlik:0.285638
[113] train-err:0.079080 train-nlik:0.289996 valid-err:0.080100 valid-nlik:0.295383 test-err:0.078200 test-nlik:0.285190
[114] train-err:0.078880 train-nlik:0.289517 valid-err:0.080000 valid-nlik:0.294952 test-err:0.078000 test-nlik:0.284758
[115] train-err:0.078740 train-nlik:0.289041 valid-err:0.079900 valid-nlik:0.294533 test-err:0.078000 test-nlik:0.284350
[116] train-err:0.078620 train-nlik:0.288557 valid-err:0.079800 valid-nlik:0.294098 test-err:0.077500 test-nlik:0.283939
[117] train-err:0.078480 train-nlik:0.288076 valid-err:0.079600 valid-nlik:0.293683 test-err:0.078000 test-nlik:0.283509
[118] train-err:0.078200 train-nlik:0.287584 valid-err:0.079400 valid-nlik:0.293261 test-err:0.077700 test-nlik:0.283073
[119] train-err:0.078020 train-nlik:0.287095 valid-err:0.079400 valid-nlik:0.292838 test-err:0.077500 test-nlik:0.282643
[120] train-err:0.077920 train-nlik:0.286605 valid-err:0.079200 valid-nlik:0.292401 test-err:0.077300 test-nlik:0.282232
[121] train-err:0.077780 train-nlik:0.286104 valid-err:0.079300 valid-nlik:0.291946 test-err:0.077200 test-nlik:0.281802
[122] train-err:0.077620 train-nlik:0.285596 valid-err:0.079200 valid-nlik:0.291471 test-err:0.076800 test-nlik:0.281353
