[82] train-err:0.009020 train-nlik:0.052179 valid-err:0.023600 valid-nlik:0.087650 test-err:0.022600 test-nlik:0.079743
[83] train-err:0.009080 train-nlik:0.052039 valid-err:0.023400 valid-nlik:0.087470 test-err:0.022200 test-nlik:0.079431
[84] train-err:0.008880 train-nlik:0.051729 valid-err:0.023300 valid-nlik:0.087301 test-err:0.022300 test-nlik:0.079026
[85] train-err:0.008740 train-nlik:0.051486 valid-err:0.022900 valid-nlik:0.087253 test-err:0.022300 test-nlik:0.078819
[86] train-err:0.008740 train-nlik:0.051351 valid-err:0.022800 valid-nlik:0.086995 test-err:0.021700 test-nlik:0.078922
[87] train-err:0.008680 train-nlik:0.051191 valid-err:0.022500 valid-nlik:0.086645 test-err:0.022000 test-nlik:0.078758
[88] train-err:0.008700 train-nlik:0.050982 valid-err:0.022500 valid-nlik:0.086401 test-err:0.022100 test-nlik:0.078758
[89] train-err:0.008560 train-nlik:0.050684 valid-err:0.022300 valid-nlik:0.086213 test-err:0.022100 test-nlik:0.078477
[90] train-err:0.008420 train-nlik:0.050398 valid-err:0.022500 valid-nlik:0.086138 test-err:0.022200 test-nlik:0.078301
[91] train-err:0.008400 train-nlik:0.050300 valid-err:0.022400 valid-nlik:0.086052 test-err:0.022200 test-nlik:0.078278
[92] train-err:0.008480 train-nlik:0.050327 valid-err:0.022400 valid-nlik:0.086133 test-err:0.022500 test-nlik:0.078329
[93] train-err:0.008500 train-nlik:0.050204 valid-err:0.022600 valid-nlik:0.085957 test-err:0.022600 test-nlik:0.078206
[94] train-err:0.008300 train-nlik:0.050041 valid-err:0.022400 valid-nlik:0.085931 test-err:0.022500 test-nlik:0.078192
[95] train-err:0.008260 train-nlik:0.049936 valid-err:0.022500 valid-nlik:0.085779 test-err:0.022100 test-nlik:0.078019
[96] train-err:0.008320 train-nlik:0.049890 valid-err:0.022500 valid-nlik:0.085702 test-err:0.021900 test-nlik:0.077733
[97] train-err:0.008120 train-nlik:0.049778 valid-err:0.022600 valid-nlik:0.085585 test-err:0.021800 test-nlik:0.077703
[98] train-err:0.008140 train-nlik:0.049729 valid-err:0.022500 valid-nlik:0.085550 test-err:0.021600 test-nlik:0.077712
[99] train-err:0.008040 train-nlik:0.049708 valid-err:0.022200 valid-nlik:0.085484 test-err:0.021500 test-nlik:0.077688
[100] train-err:0.008080 train-nlik:0.049606 valid-err:0.022000 valid-nlik:0.085354 test-err:0.021400 test-nlik:0.077548
[101] train-err:0.007980 train-nlik:0.049448 valid-err:0.022200 valid-nlik:0.085254 test-err:0.021500 test-nlik:0.077287
[102] train-err:0.008000 train-nlik:0.049308 valid-err:0.022500 valid-nlik:0.085135 test-err:0.021300 test-nlik:0.077146
[103] train-err:0.008100 train-nlik:0.049287 valid-err:0.022300 valid-nlik:0.085056 test-err:0.021600 test-nlik:0.077058
[104] train-err:0.008060 train-nlik:0.049167 valid-err:0.022100 valid-nlik:0.084839 test-err:0.021900 test-nlik:0.076913
[105] train-err:0.008060 train-nlik:0.049039 valid-err:0.022100 valid-nlik:0.084712 test-err:0.021700 test-nlik:0.076706
[106] train-err:0.008120 train-nlik:0.048976 valid-err:0.022100 valid-nlik:0.084482 test-err:0.021200 test-nlik:0.076677
[107] train-err:0.008060 train-nlik:0.048827 valid-err:0.022100 valid-nlik:0.084283 test-err:0.021100 test-nlik:0.076481
[108] train-err:0.007960 train-nlik:0.048660 valid-err:0.021800 valid-nlik:0.084055 test-err:0.020900 test-nlik:0.076212
[109] train-err:0.007740 train-nlik:0.048508 valid-err:0.021700 valid-nlik:0.083915 test-err:0.020700 test-nlik:0.075927
[110] train-err:0.007620 train-nlik:0.048335 valid-err:0.021800 valid-nlik:0.083815 test-err:0.020700 test-nlik:0.075699
[111] train-err:0.007540 train-nlik:0.048388 valid-err:0.022100 valid-nlik:0.083843 test-err:0.020700 test-nlik:0.075751
[112] train-err:0.007540 train-nlik:0.048371 valid-err:0.021900 valid-nlik:0.083733 test-err:0.020600 test-nlik:0.075693
[113] train-err:0.007580 train-nlik:0.048270 valid-err:0.021800 valid-nlik:0.083712 test-err:0.020600 test-nlik:0.075622
[114] train-err:0.007560 train-nlik:0.048320 valid-err:0.021800 valid-nlik:0.083721 test-err:0.020200 test-nlik:0.075653
[115] train-err:0.007480 train-nlik:0.048240 valid-err:0.022200 valid-nlik:0.083627 test-err:0.020200 test-nlik:0.075604
[116] train-err:0.007460 train-nlik:0.048163 valid-err:0.022200 valid-nlik:0.083550 test-err:0.019900 test-nlik:0.075529
[117] train-err:0.007380 train-nlik:0.047987 valid-err:0.022100 valid-nlik:0.083195 test-err:0.019900 test-nlik:0.075340
[118] train-err:0.007340 train-nlik:0.047827 valid-err:0.022000 valid-nlik:0.083039 test-err:0.020000 test-nlik:0.075216
[119] train-err:0.007200 train-nlik:0.047671 valid-err:0.022200 valid-nlik:0.082930 test-err:0.020100 test-nlik:0.075139
[120] train-err:0.007220 train-nlik:0.047509 valid-err:0.022000 valid-nlik:0.082857 test-err:0.020100 test-nlik:0.075011
[121] train-err:0.007140 train-nlik:0.047425 valid-err:0.022200 valid-nlik:0.082749 test-err:0.019600 test-nlik:0.074960
[122] train-err:0.007200 train-nlik:0.047305 valid-err:0.022100 valid-nlik:0.082699 test-err:0.019600 test-nlik:0.074872
[123] train-err:0.007160 train-nlik:0.047188 valid-err:0.021800 valid-nlik:0.082655 test-err:0.019800 test-nlik:0.074779
[124] train-err:0.007120 train-nlik:0.047117 valid-err:0.021700 valid-nlik:0.082641 test-err:0.019500 test-nlik:0.074663
[125] train-err:0.007040 train-nlik:0.047195 valid-err:0.021700 valid-nlik:0.082684 test-err:0.019600 test-nlik:0.074641
[126] train-err:0.006920 train-nlik:0.047148 valid-err:0.021500 valid-nlik:0.082606 test-err:0.019500 test-nlik:0.074556
[127] train-err:0.007020 train-nlik:0.047110 valid-err:0.021700 valid-nlik:0.082567 test-err:0.019100 test-nlik:0.074472
[128] train-err:0.007020 train-nlik:0.047036 valid-err:0.021700 valid-nlik:0.082467 test-err:0.019100 test-nlik:0.074356
[129] train-err:0.006980 train-nlik:0.046949 valid-err:0.022000 valid-nlik:0.082411 test-err:0.018800 test-nlik:0.074328
[130] train-err:0.007000 train-nlik:0.046888 valid-err:0.021600 valid-nlik:0.082273 test-err:0.018600 test-nlik:0.074283
[131] train-err:0.006920 train-nlik:0.046847 valid-err:0.021500 valid-nlik:0.082223 test-err:0.018600 test-nlik:0.074165
[132] train-err:0.006920 train-nlik:0.046850 valid-err:0.021300 valid-nlik:0.082243 test-err:0.018500 test-nlik:0.074192
[133] train-err:0.006920 train-nlik:0.046841 valid-err:0.021400 valid-nlik:0.082256 test-err:0.018300 test-nlik:0.074173
[134] train-err:0.006920 train-nlik:0.046683 valid-err:0.021200 valid-nlik:0.082071 test-err:0.018500 test-nlik:0.074028
[135] train-err:0.006880 train-nlik:0.046561 valid-err:0.021100 valid-nlik:0.081914 test-err:0.018500 test-nlik:0.073926
[136] train-err:0.006880 train-nlik:0.046465 valid-err:0.021200 valid-nlik:0.081852 test-err:0.018800 test-nlik:0.073806
[137] train-err:0.006880 train-nlik:0.046386 valid-err:0.021200 valid-nlik:0.081805 test-err:0.018900 test-nlik:0.073745
[138] train-err:0.006860 train-nlik:0.046256 valid-err:0.021200 valid-nlik:0.081678 test-err:0.019000 test-nlik:0.073646
[139] train-err:0.006860 train-nlik:0.046177 valid-err:0.021400 valid-nlik:0.081567 test-err:0.019100 test-nlik:0.073588
[140] train-err:0.006800 train-nlik:0.046096 valid-err:0.021200 valid-nlik:0.081482 test-err:0.019100 test-nlik:0.073492
[141] train-err:0.006740 train-nlik:0.045991 valid-err:0.021400 valid-nlik:0.081418 test-err:0.018800 test-nlik:0.073412
[142] train-err:0.006720 train-nlik:0.045925 valid-err:0.021200 valid-nlik:0.081336 test-err:0.019100 test-nlik:0.073359
[143] train-err:0.006760 train-nlik:0.045918 valid-err:0.021500 valid-nlik:0.081321 test-err:0.019000 test-nlik:0.073297
[144] train-err:0.006680 train-nlik:0.045844 valid-err:0.021500 valid-nlik:0.081279 test-err:0.018800 test-nlik:0.073200
